"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"COL","UNEMPEDU","BUPPSRY","PC_25_64","A","2022",8.5254536,
"COL","UNEMPEDU","TRY","PC_25_64","A","2019",9.8261328,
"COL","UNEMPEDU","TRY","PC_25_64","A","2020",15.265088,
"COL","UNEMPEDU","TRY","PC_25_64","A","2021",11.576407,
"COL","UNEMPEDU","TRY","PC_25_64","A","2022",9.252039,
"COL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",10.144823,
"COL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",16.367346,
"COL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",13.988877,
"COL","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2022",10.901308,
"IND","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",1.1385115,
"IND","UNEMPEDU","BUPPSRY","PC_25_64","A","2020",0.7124393,
"IND","UNEMPEDU","BUPPSRY","PC_25_64","A","2022",1.6218774,
"IND","UNEMPEDU","TRY","PC_25_64","A","2019",8.9667339,
"IND","UNEMPEDU","TRY","PC_25_64","A","2020",9.6392546,
"IND","UNEMPEDU","TRY","PC_25_64","A","2022",8.924428,
"IND","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",4.4017348,
"IND","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",3.9799764,
"IND","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2022",2.9989917,
"IDN","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",1.3864555,
"IDN","UNEMPEDU","BUPPSRY","PC_25_64","A","2020",1.9447598,
"IDN","UNEMPEDU","BUPPSRY","PC_25_64","A","2021",1.5837833,
"IDN","UNEMPEDU","BUPPSRY","PC_25_64","A","2022",1.2977756,
"IDN","UNEMPEDU","TRY","PC_25_64","A","2019",2.5368803,
"IDN","UNEMPEDU","TRY","PC_25_64","A","2020",2.9335968,
"IDN","UNEMPEDU","TRY","PC_25_64","A","2021",2.9945304,
"IDN","UNEMPEDU","TRY","PC_25_64","A","2022",2.4909279,
"IDN","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",2.5706162,
"IDN","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",3.4961581,
"IDN","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",3.1758807,
"IDN","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2022",2.4290035,
"SAU","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",2.1067193,
"SAU","UNEMPEDU","BUPPSRY","PC_25_64","A","2020",4.5199828,
"SAU","UNEMPEDU","TRY","PC_25_64","A","2019",3.3067274,
"SAU","UNEMPEDU","TRY","PC_25_64","A","2020",4.090971,
"SAU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",2.2912621,
"SAU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",3.1748133,
"ZAF","UNEMPEDU","BUPPSRY","PC_25_64","A","2019",30.83777,
"ZAF","UNEMPEDU","BUPPSRY","PC_25_64","A","2020",31.752539,
"ZAF","UNEMPEDU","BUPPSRY","PC_25_64","A","2022",30.912533,
"ZAF","UNEMPEDU","TRY","PC_25_64","A","2019",11.930642,
"ZAF","UNEMPEDU","TRY","PC_25_64","A","2020",13.041055,
"ZAF","UNEMPEDU","TRY","PC_25_64","A","2022",14.241878,
"ZAF","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2019",24.312569,
"ZAF","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2020",26.249229,
"ZAF","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2022",27.467268,
"ROU","UNEMPEDU","BUPPSRY","PC_25_64","A","2021",11.979295,
"ROU","UNEMPEDU","BUPPSRY","PC_25_64","A","2022",12.312694,
"ROU","UNEMPEDU","TRY","PC_25_64","A","2021",1.6390158,
"ROU","UNEMPEDU","TRY","PC_25_64","A","2022",1.3027833,
"ROU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2021",3.5585475,
"ROU","UNEMPEDU","UPPSRY_NTRY","PC_25_64","A","2022",3.5733798,
